brand,fuel_type,model_date,price,vehicle_engine,vehicle_transmission,KM
Toyota,Petrol,2015,15000000,4000cc,Automatic,50000
Ford,Petrol,2018,20000000,5000cc,Automatic,91000
Daihatsu,Petrol,2018,3300000,660cc,Automatic,48020
Suzuki,Petrol,2007,1900000,1500cc,Automatic,176000
Toyota,Petrol,2018,3600000,1300cc,Manual,90000
Suzuki,Petrol,2011,700000,800cc,Manual,150258
Suzuki,Petrol,2022,3250000,1000cc,Manual,1650
Suzuki,Petrol,2022,2390000,660cc,Manual,19800
Toyota,Petrol,2016,3280000,1000cc,Automatic,89000
Toyota,Hybrid,2017,7200000,1800cc,Automatic,81861
Honda,Petrol,2001,1250000,1500cc,Manual,95000
Toyota,Petrol,2006,1750000,1000cc,Automatic,100000
Nissan,Petrol,1988,450000,1300cc,Manual,300000
Suzuki,Petrol,2015,1950000,660cc,Automatic,82000
Toyota,Petrol,2021,4490000,1300cc,Manual,30000
Honda,Petrol,1998,845000,1500cc,Manual,170000
Honda,Petrol,2007,1650000,1600cc,Automatic,206580
Honda,Petrol,2014,3350000,1500cc,Automatic,125000
Toyota,Petrol,2019,4800000,1300cc,Automatic,43055
Daihatsu,Petrol,2010,900000,800cc,Manual,139355
Suzuki,Petrol,2018,1250000,800cc,Manual,72000
Suzuki,Petrol,2007,850000,1000cc,Manual,100000
Honda,Petrol,2022,4300000,1200cc,Manual,7800
Toyota,Diesel,2015,6600000,2500cc,Automatic,96000
Suzuki,Petrol,1993,500000,1300cc,Manual,70000
Mitsubishi,Petrol,2004,1200000,1600cc,Manual,88000
Daihatsu,Petrol,1986,195000,1000cc,Manual,8758
Honda,Petrol,2022,9500000,1500cc,Automatic,977
Honda,Petrol,2020,5950000,1800cc,Automatic,65000
Mercedes Benz,Petrol,2006,5400000,3000cc,Automatic,117000
Toyota,Diesel,2023,19700000,2800cc,Automatic,25
Toyota,Petrol,2006,6500000,2700cc,Automatic,195000
Honda,Petrol,2022,8100000,1500cc,Automatic,13000
Toyota,Petrol,2019,4450000,1800cc,Automatic,80000
Honda,Petrol,2017,2975000,1300cc,Manual,76000
KIA,Petrol,2021,6850000,2000cc,Automatic,36000
Toyota,Petrol,2020,5675000,1800cc,Automatic,32000
Toyota,Hybrid,2018,4550000,1500cc,Automatic,85000
Honda,Petrol,2022,5400000,1500cc,Automatic,1800
Daihatsu,Petrol,2003,400000,800cc,Manual,100000
Nissan,Petrol,2018,2350000,660cc,Automatic,49000
Suzuki,Petrol,2018,2435000,1000cc,Manual,65001
Toyota,Petrol,1996,3300000,3400cc,Automatic,65000
Toyota,Diesel,2022,11495000,2800cc,Automatic,23785
Toyota,Petrol,2014,3050000,1300cc,Manual,73000
Suzuki,Petrol,2021,3600000,1000cc,Manual,28500
FAW,Petrol,2017,900000,1000cc,Manual,131978
Toyota,Petrol,2019,3750000,1300cc,Manual,60000
Suzuki,Petrol,2021,2550000,660cc,Manual,6000
Suzuki,Petrol,2008,1455000,660cc,Automatic,81000
MG,Petrol,2021,6900000,1500cc,Automatic,23000
Toyota,Petrol,2008,1920000,1000cc,Automatic,96000
Honda,Petrol,2001,1280000,1300cc,Manual,117000
Suzuki,Petrol,2018,1135000,800cc,Manual,44000
Honda,Petrol,2013,3000000,1800cc,Automatic,100000
Suzuki,Petrol,2022,2450000,660cc,Manual,4200
Toyota,Petrol,2014,2500000,1000cc,Automatic,90000
Honda,Petrol,2011,2250000,1800cc,Automatic,125000
KIA,Petrol,2021,3000000,1000cc,Automatic,18000
Honda,Petrol,2021,3950000,1200cc,Manual,12000
Honda,Petrol,2022,4400000,1200cc,Automatic,10000
Honda,Petrol,2003,1290000,1500cc,Automatic,200000
Honda,Petrol,2020,6875000,1500cc,Automatic,32500
Honda,Petrol,2022,4450000,1200cc,Manual,800
Toyota,Petrol,2012,3450000,1800cc,Automatic,86000
Toyota,Petrol,2023,5300000,1500cc,Automatic,10
Honda,Petrol,2023,9400000,1500cc,Automatic,50
Toyota,Petrol,2018,4175000,1600cc,Automatic,72000
Honda,Petrol,2019,4980000,1800cc,Automatic,57000
Toyota,Petrol,2019,5250000,1800cc,Automatic,70000
Suzuki,Petrol,2021,2560000,660cc,Automatic,15000
Toyota,Petrol,2014,2550000,1000cc,Automatic,120000
Suzuki,Petrol,2021,2555555,660cc,Automatic,31000
Suzuki,Petrol,2021,2325000,660cc,Manual,17000
Toyota,Petrol,2016,3100000,1000cc,Automatic,76584
Honda,Petrol,2019,3500000,1500cc,Automatic,77613
Toyota,Petrol,2013,2450000,1300cc,Manual,172625
Suzuki,Petrol,2012,970000,1000cc,Manual,133021
Honda,Petrol,2018,7800000,1500cc,Automatic,28762
Toyota,Petrol,2012,2000000,1000cc,Automatic,94653
Suzuki,Petrol,2010,800000,800cc,Manual,58030
Suzuki,Petrol,2009,1200000,1000cc,Manual,45447
Hyundai,Petrol,2007,1150000,1100cc,Manual,179481
Mercedes Benz,Petrol,2003,4900000,5000cc,Automatic,89821
MG,Petrol,2021,5500000,1490cc,Automatic,22279
Toyota,Petrol,2002,6800000,2700cc,Automatic,135221
Audi,Petrol,2015,14000000,1800cc,Automatic,29562
Mercedes Benz,Petrol,2011,11500000,2000cc,Automatic,86528
Toyota,Petrol,2016,43500000,4600cc,Automatic,13106
Honda,Petrol,2017,5000000,1500cc,Automatic,70000
Honda,Petrol,2019,3550000,1500cc,Manual,33000
Honda,Petrol,2006,2095000,1600cc,Automatic,47900
Toyota,Petrol,2018,55000000,4600cc,Automatic,12000
Toyota,Petrol,2021,6150000,1800cc,Automatic,57000
Toyota,Petrol,2011,12100000,2700cc,Automatic,108000
Honda,Petrol,2016,4500000,1500cc,Automatic,140000
Toyota,Petrol,2008,2050000,1800cc,Manual,348310
Changan,Petrol,2022,8500000,1499cc,Automatic,13269
MG,Petrol,2021,7350000,1490cc,Automatic,9806
Honda,Petrol,2014,2430000,1300cc,Manual,163259
Toyota,Petrol,2007,1420000,1300cc,Manual,340000
Suzuki,Petrol,2022,2539000,660cc,Manual,7000
Suzuki,Petrol,2006,480000,800cc,Manual,55465
Honda,Petrol,2004,1375000,1500cc,Automatic,339267
Toyota,Diesel,2012,6900000,2500cc,Automatic,78603
Honda,Petrol,2016,2430000,1300cc,Manual,252073
Toyota,Petrol,2017,3800000,1600cc,Automatic,80307
Chrysler,Petrol,2007,9000000,3500cc,Automatic,56434
Suzuki,Petrol,2019,4200000,1200cc,Automatic,14794
Toyota,Petrol,2010,2490000,1000cc,Automatic,87000
MG,Petrol,2021,6000000,1500cc,Automatic,26725
Toyota,Petrol,2022,7125000,1800cc,Automatic,6082
Toyota,Petrol,2013,1580000,1000cc,Manual,62403
Honda,Petrol,2022,7200000,1500cc,Automatic,12520
Suzuki,Petrol,2014,850000,800cc,Manual,87000
Toyota,Petrol,2011,2245000,1000cc,Automatic,108000
Honda,Petrol,2004,1400000,1500cc,Automatic,175000
Honda,Petrol,2008,1545000,1300cc,Manual,200000
Honda,Petrol,2019,3700000,1500cc,Automatic,48000
Suzuki,Petrol,2015,1175000,796cc,Manual,55000
Suzuki,Petrol,2022,950000,800cc,Manual,9000
Honda,Petrol,2020,6130000,1500cc,Automatic,70000
Honda,Petrol,2020,5950000,1800cc,Automatic,15000
Toyota,Diesel,2023,21000000,2800cc,Automatic,2
Toyota,Petrol,2015,3300000,1800cc,Automatic,140000
Honda,Petrol,2022,8050000,1500cc,Automatic,14300
Toyota,Petrol,2021,5550000,1598cc,Automatic,14000
KIA,Petrol,2020,6450000,2000cc,Automatic,25000
Honda,Petrol,2022,4990000,1500cc,Automatic,14000
Toyota,Petrol,2017,2850000,1300cc,Manual,121000
Mitsubishi,Petrol,2008,1495000,660cc,Automatic,180000
Suzuki,Petrol,2019,2435000,660cc,Manual,30000
Suzuki,Petrol,2016,985000,800cc,Manual,98000
Daihatsu,Petrol,2004,550000,10000cc,Manual,100400
Toyota,Petrol,2022,6100000,1600cc,Automatic,1750
Suzuki,Petrol,2011,1350000,660cc,Automatic,134000
Suzuki,Petrol,2016,890000,796cc,Manual,1
Suzuki,Petrol,2004,620000,1000cc,Manual,60000
Suzuki,Petrol,2006,600000,1000cc,Manual,90000
Toyota,Petrol,2020,5400000,1600cc,Automatic,7800
Suzuki,Petrol,2022,2660000,660cc,Manual,10500
Toyota,Hybrid,2017,4700000,1500cc,Automatic,81949
Daihatsu,Petrol,2007,825000,800cc,Manual,202152
Honda,Petrol,2017,3000000,1300cc,Manual,88000
United,Petrol,2020,980000,796cc,Manual,49357
Toyota,Petrol,2013,3990000,1800cc,Automatic,184625
Toyota,Diesel,2007,1350000,2000cc,Manual,349424
Toyota,Hybrid,2018,7000000,1800cc,Automatic,68304
Suzuki,Petrol,2017,1150000,796cc,Manual,65575
Suzuki,Petrol,2022,2700000,1000cc,Manual,6958
FAW,Petrol,2015,900000,1000cc,Manual,141513
Toyota,Petrol,2010,3500000,1500cc,Automatic,145472
Honda,Petrol,2019,4950000,1800cc,Automatic,48059
Suzuki,Petrol,2007,790000,800cc,Manual,18052
Toyota,Petrol,2016,37500000,4600cc,Automatic,38757
Mercedes Benz,Petrol,2007,3800000,1800cc,Automatic,158027
Toyota,Petrol,2021,4150000,1300cc,Automatic,27291
Toyota,Petrol,2019,3975000,1300cc,Manual,68000
Toyota,Diesel,1997,4100000,4200cc,Manual,200000
Honda,Petrol,2023,7400000,1500cc,Automatic,2050
Daihatsu,Petrol,2018,3450000,1000cc,Automatic,24000
Toyota,Petrol,2013,2650000,1600cc,Automatic,150000
Toyota,Petrol,2022,6300000,1598cc,Automatic,13000
Honda,Petrol,2021,6375000,1800cc,Automatic,28700
Honda,Hybrid,2017,6500000,1500cc,Automatic,110000
Toyota,Petrol,2013,5500000,2700cc,Automatic,128715
Toyota,Petrol,2018,11900000,2700cc,Automatic,40300
Nissan,Petrol,2013,3250000,1500cc,Automatic,126000
Toyota,Petrol,2022,4450000,1500cc,Manual,5551
Honda,Petrol,2022,5200000,1497cc,Automatic,5520
Suzuki,Petrol,2018,2600000,1000cc,Manual,105701
Toyota,Petrol,2005,4100000,3000cc,Automatic,89014
Mitsubishi,Diesel,2006,4200000,2800cc,Automatic,257451
Toyota,Petrol,2020,4875000,1600cc,Automatic,66000
Toyota,Petrol,2011,2300000,1300cc,Manual,140000
KIA,Petrol,2021,6350000,2000cc,Automatic,23000
Suzuki,Petrol,2018,1300000,800cc,Manual,12345
Suzuki,CNG,1991,280000,100cc,Manual,130000
Honda,Petrol,2006,1410000,1600cc,Automatic,130000
Honda,Petrol,2021,6050000,1800cc,Automatic,26750
Toyota,Diesel,2006,4700000,3000cc,Manual,368000
Toyota,Petrol,2017,3250000,1300cc,Manual,125000
Suzuki,Petrol,2021,3000000,1000cc,Manual,12000
Suzuki,Petrol,2021,2650000,1000cc,Manual,18500
Daihatsu,Petrol,2018,2875000,660cc,Automatic,70000
Honda,Petrol,2022,4425000,1200cc,Manual,1
Daihatsu,Petrol,2015,2650000,660cc,Automatic,40000
Toyota,Petrol,2004,2090000,1300cc,Manual,107000
Toyota,Petrol,2009,1990000,1000cc,Automatic,123000
Suzuki,Petrol,2021,2200000,660cc,Manual,14000
Honda,Petrol,2023,5575000,1500cc,Automatic,8
Honda,Petrol,2005,1275000,1500cc,Automatic,123000
Suzuki,Petrol,1990,400000,800cc,Manual,1
Suzuki,Petrol,2022,2535000,660cc,Manual,5800
Honda,Petrol,2023,9600000,1500cc,Automatic,50
Honda,Petrol,2013,2575000,1500cc,Manual,145000
Toyota,Petrol,2015,22000000,2700cc,Automatic,18000
Mitsubishi,Diesel,1996,3800000,2800cc,Automatic,219950
Toyota,Petrol,2014,27500000,4608cc,Automatic,14000
Toyota,Petrol,2012,6800000,2500cc,Automatic,84000
Toyota,Petrol,2019,4095000,1000cc,Automatic,13000
Changan,Petrol,2022,4200000,1500cc,Automatic,9000
Toyota,Petrol,2018,4150000,1000cc,Automatic,33000
Suzuki,Petrol,2009,1480000,660cc,Automatic,150000
Daihatsu,Petrol,2012,1200000,800cc,Manual,204792
Toyota,Petrol,2017,4500000,1800cc,Automatic,48000
Toyota,Petrol,2016,4975000,1500cc,Automatic,107000
Honda,Petrol,2019,3975000,1500cc,Automatic,37000
Toyota,Petrol,2009,1950000,1300cc,Manual,127000
Suzuki,CNG,2014,900000,800cc,Manual,87052
Toyota,Petrol,2005,3250000,2500cc,Automatic,135000
Suzuki,Petrol,2017,1899000,1000cc,Manual,29000
Suzuki,Petrol,2019,2250000,660cc,Automatic,63000
Toyota,Petrol,2005,5600000,2700cc,Automatic,98000
Suzuki,Petrol,2006,580000,1000cc,Manual,100000
Toyota,Petrol,2017,3150000,1300cc,Manual,117000
Porsche,Petrol,2008,8800000,4800cc,Automatic,93000
Toyota,Petrol,2012,2750000,1300cc,Automatic,106000
KIA,Petrol,2022,5400000,1368cc,Automatic,338
Daihatsu,Petrol,2007,660000,800cc,Manual,128000
Honda,Petrol,2018,4475000,1800cc,Automatic,63000
Suzuki,CNG,1987,370000,800cc,Manual,141100
Honda,Petrol,2010,2180000,1300cc,Manual,165000
Nissan,Petrol,1988,400000,1300cc,Manual,1300
Suzuki,Petrol,2022,2475000,660cc,Manual,8000
Toyota,Petrol,2023,7550000,1800cc,Automatic,25
Toyota,Petrol,2017,3450000,1300cc,Manual,117000
Honda,Petrol,2010,2190000,1800cc,Automatic,110000
Honda,Petrol,2009,1895000,1300cc,Manual,150000
Honda,Petrol,2023,4650000,1200cc,Automatic,25
Suzuki,Petrol,2022,3035000,660cc,Automatic,1500
Suzuki,Petrol,2008,830000,1000cc,Manual,87000
Daihatsu,Petrol,2007,1850000,1000cc,Automatic,102000
Toyota,Petrol,2022,4700000,1300cc,Automatic,20
Audi,Petrol,2018,12500000,1400cc,Automatic,25000
Honda,Petrol,2020,3790000,660cc,Automatic,9000
Honda,Petrol,2023,7450000,1500cc,Automatic,1
Audi,Electric,2021,24000000,cc,Automatic,36000
Toyota,Petrol,2014,16500000,2700cc,Automatic,98000
Toyota,Petrol,2017,46000000,4608cc,Automatic,24000
Hyundai,Petrol,2023,8550000,2000cc,Automatic,15
Suzuki,Petrol,2004,495000,800cc,Manual,99990
Toyota,Petrol,2010,2300000,1300cc,Manual,139000
Toyota,Petrol,2017,3450000,1600cc,Automatic,79000
KIA,Petrol,2021,2450000,1000cc,Manual,45000
Daihatsu,Petrol,2000,580000,800cc,Manual,250000
Toyota,Petrol,1986,525000,2000cc,Automatic,180000
Suzuki,Petrol,2020,2100000,660cc,Manual,24000
Honda,Petrol,2016,2950000,1500cc,Manual,99000
Toyota,Petrol,2018,3550000,1300cc,Automatic,51000
Suzuki,Lpg,2004,570000,800cc,Manual,63000
Honda,Petrol,2001,995000,1600cc,Automatic,280000
KIA,Petrol,2021,2800000,998cc,Manual,11000
Suzuki,Petrol,2022,4025000,1200cc,Automatic,13100
Suzuki,Petrol,2022,2575000,660cc,Manual,27000
Toyota,Diesel,1992,2900000,2800cc,Manual,250000
Honda,Petrol,2009,3450000,1300cc,Automatic,84000
Toyota,Petrol,2016,21000000,2700cc,Automatic,90000
Suzuki,Petrol,2005,500000,800cc,Manual,999999
Toyota,Petrol,2014,3050000,1600cc,Automatic,130000
Toyota,Petrol,2012,15000000,2700cc,Automatic,111534
Suzuki,Petrol,2001,375000,800cc,Manual,96396
Honda,Petrol,2008,1520000,1800cc,Automatic,200000
Hyundai,Petrol,2021,9300000,2497cc,Automatic,12000
Toyota,Petrol,2019,4500000,1300cc,Automatic,42000
Toyota,Petrol,2021,3500000,1300cc,Manual,14000
Changan,Petrol,2021,3600000,1500cc,Automatic,21500
Suzuki,Petrol,2015,2400000,660cc,Automatic,45000
Toyota,Diesel,2022,17000000,2800cc,Automatic,6600
Honda,Petrol,2023,5000000,1500cc,Automatic,5
Honda,Petrol,2023,8550000,1500cc,Automatic,25
Toyota,Petrol,2005,4885000,3000cc,Automatic,69000
Suzuki,Petrol,2022,2675000,660cc,Manual,28
Honda,Petrol,2014,3350000,1500cc,Automatic,70900
Honda,Petrol,2023,7675000,1500cc,Automatic,24
Toyota,Hybrid,2015,3665000,1500cc,Automatic,83000
Honda,Petrol,2019,3875000,1500cc,Automatic,32900
Honda,Petrol,2010,2600000,1800cc,Automatic,154100
Honda,Petrol,2013,3100000,1800cc,Automatic,135000
Suzuki,Petrol,2016,1950000,1300cc,Manual,61000
Toyota,Diesel,2021,11500000,2800cc,Automatic,57952
Mitsubishi,Petrol,2012,1400000,660cc,Automatic,200000
Toyota,Petrol,2020,3750000,1300cc,Manual,44000
Daihatsu,Petrol,2020,3050000,660cc,Automatic,10000
Suzuki,Petrol,2016,1050000,800cc,Manual,85000
Suzuki,Petrol,2013,870000,800cc,Manual,99000
Toyota,Petrol,2012,28500000,4600cc,Automatic,125000
Toyota,Diesel,1990,3300000,3000cc,Automatic,15000
Suzuki,Petrol,2002,690000,1000cc,Manual,200000
Suzuki,Petrol,2017,2690000,660cc,Automatic,70000
Suzuki,Petrol,2014,2190000,660cc,Automatic,100000
Chery,Petrol,2006,700000,660cc,Manual,123
Suzuki,Petrol,2013,930000,800cc,Manual,67000
Toyota,Petrol,2017,3780000,1300cc,Automatic,75000
Suzuki,Petrol,2004,700000,1000cc,Manual,90000
Toyota,Petrol,2003,5700000,2700cc,Automatic,160000
Toyota,Petrol,2015,3580000,1600cc,Automatic,150000
Suzuki,Petrol,2014,1750000,660cc,Automatic,194000
Suzuki,Petrol,1997,650000,1300cc,Manual,56000
Honda,Petrol,2006,1650000,1300cc,Automatic,150000
Toyota,Petrol,2019,11200000,2700cc,Automatic,29000
Range Rover,Petrol,2014,33500000,5000cc,Automatic,34000
Audi,Electric,2022,40500000,cc,Automatic,9600
Honda,Petrol,2008,1625000,1300cc,Manual,88500
Hyundai,Petrol,2022,8125000,2000cc,Automatic,4500
Toyota,Hybrid,2007,2695000,1500cc,Automatic,110000
Toyota,Petrol,2010,2050000,1000cc,Automatic,93000
Toyota,Petrol,2019,4400000,1000cc,Automatic,33000
Suzuki,Petrol,2019,3200000,660cc,Automatic,20000
Honda,Petrol,2016,2350000,1300cc,Manual,121000
Toyota,Hybrid,2014,6300000,1800cc,Automatic,59000
Suzuki,Petrol,2013,1225000,1000cc,Manual,130000
Toyota,Diesel,2021,11500000,2800cc,Automatic,58500
Suzuki,Petrol,2022,3485000,800cc,Automatic,1600
Honda,Petrol,2017,2950000,1500cc,Manual,60000
Suzuki,Petrol,2022,2250000,660cc,Manual,14000
Toyota,Petrol,1997,975000,1300cc,Manual,255266
Honda,Petrol,2015,2125000,660cc,Automatic,65000
Suzuki,Petrol,2020,2550000,1000cc,Manual,87000
Suzuki,Petrol,2018,2050000,1000cc,Manual,39000
Suzuki,Petrol,2016,1950000,1300cc,Manual,60000
Suzuki,Petrol,2015,2340000,660cc,Automatic,134000
Toyota,Petrol,2017,3050000,1300cc,Manual,72000
Toyota,Diesel,2009,4750000,2500cc,Manual,165000
Toyota,Petrol,2021,5200000,1600cc,Automatic,22500
Toyota,Petrol,2021,4585000,1500cc,Automatic,24000
Suzuki,Petrol,2015,815000,800cc,Manual,62500
Honda,Petrol,2020,5500000,1800cc,Automatic,41000
Hyundai,Petrol,2022,9930000,2500cc,Automatic,11000
Suzuki,Petrol,2009,640000,1000cc,Manual,3
KIA,Petrol,2020,6350000,2000cc,Automatic,35000
Suzuki,Petrol,2010,550000,800cc,Manual,150000
Honda,Petrol,2006,1610000,1600cc,Manual,280000
Toyota,Petrol,2019,3450000,1000cc,Automatic,30000
Hyundai,Petrol,2023,10525000,2500cc,Automatic,3
Honda,Petrol,2018,3095000,1300cc,Manual,56500
Toyota,Petrol,2009,25000000,4600cc,Automatic,80000
Suzuki,Petrol,2021,2550000,660cc,Automatic,26000
Changan,Petrol,2023,4550000,1500cc,Automatic,20
Toyota,Petrol,2023,6995000,1600cc,Automatic,1
Toyota,Petrol,2020,5490000,996cc,Automatic,7000
Suzuki,Hybrid,2019,3895000,660cc,Automatic,69287
Toyota,Diesel,2018,8680000,2800cc,Automatic,69000
MG,Petrol,2021,7200000,1500cc,Automatic,10900
Hyundai,Petrol,2021,7500000,1999cc,Automatic,26372
Honda,Hybrid,2014,3050000,1500cc,Automatic,97374
Toyota,Diesel,2022,17990000,2800cc,Automatic,28600
Honda,Petrol,2015,4550000,1800cc,Automatic,79000
Honda,Petrol,2018,3095000,1300cc,Manual,56500
Suzuki,Petrol,2020,2350000,660cc,Automatic,57000
Suzuki,Petrol,2010,895000,1000cc,Manual,85000
Toyota,Petrol,2018,5525000,1500cc,Automatic,73000
Toyota,Petrol,2017,4200000,1800cc,Automatic,69000
Suzuki,Petrol,2008,875000,1000cc,Manual,257000
Toyota,Petrol,2018,4475000,1600cc,Automatic,52597
Toyota,Petrol,2015,3400000,1800cc,Automatic,100000
Toyota,Hybrid,2017,4225000,1500cc,Automatic,81000
Suzuki,Petrol,2011,1150000,1000cc,Manual,61000
Honda,Petrol,2013,2655000,1800cc,Manual,118000
Suzuki,Petrol,2018,2100000,1000cc,Manual,135200
Toyota,Diesel,2022,19600000,2800cc,Automatic,35
Suzuki,Petrol,2022,4500000,1200cc,Automatic,7200
Toyota,Petrol,1993,1480000,1600cc,Automatic,155609
Honda,Petrol,2021,6850000,1500cc,Automatic,28000
Suzuki,Petrol,2019,2025000,660cc,Manual,69000
Suzuki,Petrol,2021,2650000,1000cc,Manual,59000
Changan,Petrol,2022,3350000,1300cc,Manual,5500
Toyota,Petrol,2017,24500000,2700cc,Automatic,35500
Suzuki,Petrol,2003,785000,1000cc,Manual,100000
Honda,Petrol,2006,2050000,1500cc,Automatic,100000
Toyota,Petrol,2016,21000000,2700cc,Automatic,90000
Suzuki,Petrol,2019,2230000,660cc,Manual,42000
Toyota,Petrol,2003,7850000,3400cc,Automatic,185000
Honda,Petrol,2017,7400000,1500cc,Automatic,41912
KIA,Petrol,2022,14300000,3470cc,Automatic,358
Daihatsu,Petrol,1987,750000,1000cc,Manual,50000
Haval,Petrol,2023,10500000,2000cc,Automatic,15
Honda,Petrol,2011,1990000,1800cc,Automatic,175000
Haval,Petrol,2022,10000000,2000cc,Automatic,15
Suzuki,Petrol,2004,440000,800cc,Manual,46900
Toyota,Petrol,2015,3300000,1800cc,Automatic,145000
Honda,Hybrid,2016,3425000,1500cc,Automatic,80000
Honda,Petrol,2017,4800000,1800cc,Automatic,81160
Toyota,Petrol,2009,1675000,1300cc,Manual,148000
Toyota,Petrol,2005,1780000,1600cc,Automatic,294460
Suzuki,Petrol,2021,2265000,660cc,Manual,35000
Suzuki,Petrol,1996,260000,800cc,Manual,5000
Suzuki,Petrol,2007,1050000,1600cc,Automatic,216000
Honda,Petrol,2002,1135000,1600cc,Automatic,81000
Suzuki,Petrol,2016,1775000,1300cc,Manual,43000
Suzuki,Petrol,2022,2695000,660cc,Automatic,10000
Toyota,Hybrid,2020,9100000,1800cc,Automatic,77000
Mitsubishi,Petrol,2012,1400000,660cc,Automatic,70000
Honda,Petrol,2006,1250000,1500cc,Automatic,108000
Toyota,Petrol,2022,6100000,1600cc,Automatic,5000
Suzuki,Petrol,2019,1165000,796cc,Manual,50184
Toyota,Diesel,2022,12500000,2800cc,Automatic,16500
Suzuki,Petrol,1990,320000,1000cc,Manual,100000
Mitsubishi,Petrol,2007,1630000,660cc,Automatic,119000
Honda,Petrol,2016,2550000,1300cc,Manual,70000
Toyota,Diesel,2003,1410000,2000cc,Manual,300000
Toyota,Petrol,2020,4200000,1300cc,Manual,70000
Toyota,Petrol,1988,700000,1500cc,Manual,300000
Suzuki,Petrol,2022,2397000,660cc,Manual,1
Toyota,Hybrid,2019,5700000,1500cc,Automatic,19275
Toyota,Petrol,2007,1500000,1300cc,Manual,219800
Suzuki,Petrol,2022,2600000,660cc,Manual,3500
Suzuki,Petrol,2007,1375000,660cc,Automatic,120000
Suzuki,Petrol,2018,2085000,1000cc,Manual,49000
Honda,Petrol,2014,2325000,660cc,Automatic,75000
Suzuki,Petrol,2019,1275000,796cc,Manual,46172
Toyota,Hybrid,2017,5000000,1500cc,Automatic,95000
Toyota,Petrol,2005,3500000,2500cc,Automatic,98000
Honda,Petrol,2011,1900000,1300cc,Manual,133597
Toyota,Petrol,2017,5800000,1200cc,Automatic,80000
Suzuki,Petrol,2005,760000,1000cc,Manual,89000
Nissan,Petrol,2019,3250000,660cc,Automatic,67000
Honda,Petrol,2019,3350000,1300cc,Manual,63000
Hyundai,Petrol,2005,925000,1000cc,Manual,70000
Suzuki,Petrol,2018,2050000,1300cc,Manual,29524
Toyota,Petrol,2016,3000000,1300cc,Automatic,76500
Toyota,Petrol,2022,4070000,1300cc,Manual,11200
Suzuki,Petrol,2004,560000,1000cc,Manual,123
Honda,Petrol,2006,1630000,1800cc,Manual,200000
Suzuki,Petrol,2005,830000,1300cc,Manual,114000
Toyota,Petrol,2014,2290000,1300cc,Manual,170000
Honda,Petrol,2020,4995000,1500cc,Automatic,34000
Suzuki,Petrol,2008,725000,800cc,Manual,1
Daihatsu,Petrol,2007,1565000,660cc,Automatic,107107
Suzuki,Petrol,2021,2690000,1000cc,Manual,47000
Toyota,Petrol,2007,1895000,1300cc,Automatic,123
Mitsubishi,Petrol,1995,950000,660cc,Manual,250000
Nissan,Petrol,2015,1550000,660cc,Automatic,70000
Toyota,Petrol,2007,1680000,1000cc,Automatic,140000
Honda,Petrol,2023,9800000,1500cc,Automatic,2
Toyota,Hybrid,2015,3700000,1500cc,Automatic,125000
Suzuki,Petrol,2016,1050000,796cc,Manual,50000
Suzuki,Petrol,2014,925000,800cc,Manual,125000
Toyota,Petrol,2015,2790000,1000cc,Automatic,110000
Mitsubishi,Diesel,1994,1700000,2800cc,Automatic,300000
Honda,Petrol,2020,5400000,1800cc,Automatic,36000
Toyota,Diesel,2023,14600000,2800cc,Automatic,100
Toyota,Petrol,2010,2250000,1300cc,Manual,150000
Toyota,Petrol,2017,3460000,1000cc,Automatic,64000
Honda,Petrol,2022,4900000,1500cc,Automatic,4500
Suzuki,Petrol,2022,4450000,1200cc,Automatic,2900
Toyota,Diesel,2002,3200000,3000cc,Manual,150000
Daihatsu,Petrol,2013,1510000,660cc,Automatic,105000
Honda,Petrol,2022,5190000,1500cc,Automatic,26
Honda,Petrol,2022,5150000,1500cc,Automatic,9500
Toyota,Petrol,2015,3300000,1600cc,Automatic,115000
Toyota,Petrol,2022,5650000,1598cc,Automatic,9528
KIA,Petrol,2023,7590000,2000cc,Automatic,50
Suzuki,Petrol,2017,2470000,660cc,Automatic,58000
Honda,Petrol,2019,4250000,1500cc,Automatic,150000
Suzuki,Petrol,2006,1300000,660cc,Automatic,80000
Daihatsu,Petrol,2010,1050000,800cc,Manual,149820
Honda,Petrol,2008,1550000,1300cc,Manual,120000
Suzuki,Petrol,1992,570000,1300cc,Manual,58877
Toyota,Petrol,2006,1300000,1300cc,Manual,60000
Suzuki,Petrol,2016,2003000,1000cc,Manual,135000
Toyota,Petrol,2016,2890000,1000cc,Automatic,124000
Honda,Petrol,2016,6750000,1500cc,Automatic,49000
Suzuki,Petrol,2015,1700000,1000cc,Manual,30000
Toyota,Hybrid,2014,3600000,1500cc,Automatic,222000
KIA,Petrol,2022,3300000,1000cc,Automatic,49
Suzuki,Petrol,2012,855000,800cc,Manual,96000
Suzuki,Petrol,2018,2599999,1000cc,Manual,104000
Mitsubishi,Petrol,1992,2300000,2000cc,Manual,250000
Suzuki,Petrol,1996,370000,800cc,Manual,98000
Hyundai,Petrol,2021,7650000,2000cc,Automatic,10000
Suzuki,Petrol,2012,635000,800cc,Manual,79000
Suzuki,Petrol,1996,440000,800cc,Manual,1000
Suzuki,Petrol,2019,2325000,1000cc,Manual,98400
Toyota,Petrol,2013,22000000,4000cc,Automatic,104000
Daihatsu,Petrol,2008,750000,800cc,Automatic,105200
