brand,currency,description,fuel_type,item_condition,manufacturer,mileage_from_odometer,model_date,price,vehicle_engine,vehicle_transmission
Toyota,PKR,Toyota Corolla 2022 for sale in Islamabad,Petrol,used,Toyota,"10,000 km",2022,5575000,1600cc,Automatic
Toyota,PKR,Toyota Passo 2014 for sale in Islamabad,Petrol,used,Toyota,"90,000 km",2014,2550000,1000cc,Automatic
Nissan,PKR,Nissan Juke 2013 for sale in Lahore,Petrol,used,Nissan,"152,000 km",2013,2675000,1500cc,Automatic
Suzuki,PKR,Suzuki Alto 2019 for sale in Lahore,Petrol,used,Suzuki,"85,000 km",2019,2070000,660cc,Manual
Honda,PKR,Honda Civic 2010 for sale in Lahore,Petrol,used,Honda,"112,263 km",2010,1900000,1800cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2019 for sale in Lahore,Petrol,used,Suzuki,"35,856 km",2019,2350000,1000cc,Manual
Toyota,PKR,Toyota Prado 2009 for sale in Lahore,Petrol,used,Toyota,"75,000 km",2009,8500000,2700cc,Automatic
Toyota,PKR,Toyota Land Cruiser 1998 for sale in Lahore,Diesel,used,Toyota,"112,000 km",1998,7800000,4200cc,Automatic
Toyota,PKR,Toyota Hilux 2012 for sale in Lahore,Diesel,used,Toyota,"85,000 km",2012,5200000,2500cc,Manual
Toyota,PKR,Toyota Land Cruiser 2013 for sale in Karachi,Petrol,used,Toyota,"64,809 km",2013,28500000,4600cc,Automatic
Toyota,PKR,Toyota Prius 2014 for sale in Lahore,Petrol,used,Toyota,"112,202 km",2014,4900000,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2007 for sale in Islamabad,Petrol,used,Suzuki,"98,000 km",2007,920000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2021 for sale in Karachi,Petrol,used,Toyota,"35,929 km",2021,5300000,1598cc,Automatic
Honda,PKR,Honda City 2016 for sale in Islamabad,Petrol,used,Honda,"110,000 km",2016,2790000,1300cc,Manual
Toyota,PKR,Toyota Rush 2011 for sale in Abbottabad,Petrol,used,Toyota,"150,000 km",2011,3560000,1500cc,Automatic
Honda,PKR,Honda Civic 2005 for sale in Islamabad,Petrol,used,Honda,"127,000 km",2005,1420000,1600cc,Manual
Suzuki,PKR,Suzuki Cultus 2017 for sale in Rawalpindi,Petrol,used,Suzuki,"95,000 km",2017,1550000,1000cc,Manual
Nissan,PKR,Nissan Dayz Highway Star 2018 for sale in Karachi,Petrol,used,Nissan,"35,100 km",2018,2775000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2019 for sale in Islamabad,Petrol,used,Toyota,"23,000 km",2019,4140000,1300cc,Manual
Daihatsu,PKR,Daihatsu Mira 2014 for sale in Islamabad,Petrol,used,Daihatsu,"71,000 km",2014,2350000,660cc,Automatic
Suzuki,PKR,Suzuki Cultus 2020 for sale in Lahore,Petrol,used,Suzuki,"54,000 km",2020,2670000,1000cc,Manual
Daihatsu,PKR,Daihatsu Move 2019 for sale in Lahore,Petrol,used,Daihatsu,"20,000 km",2019,3450000,660cc,Automatic
Toyota,PKR,Toyota Vitz 2007 for sale in Mardan,Petrol,used,Toyota,"172,000 km",2007,1880000,1000cc,Automatic
Hyundai,PKR,Hyundai Elantra 2022 for sale in Lahore,Petrol,used,Hyundai,"41,000 km",2022,5990000,2000cc,Automatic
Honda,PKR,Honda Civic 2003 for sale in Karachi,Petrol,used,Honda,"120,000 km",2003,1325000,1500cc,Automatic
Master,PKR,Master Foton 2007 for sale in Sahiwal,Diesel,used,Master,"557,158 km",2007,1480000,3000cc,Manual
Suzuki,PKR,Suzuki Cultus 2004 for sale in Rawalpindi,Petrol,used,Suzuki,"114,000 km",2004,680000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2019 for sale in Rawalpindi,Petrol,used,Toyota,"64,000 km",2019,4320000,1300cc,Automatic
Toyota,PKR,Toyota Premio 2007 for sale in Lahore,Petrol,used,Toyota,"133,000 km",2007,3180000,1500cc,Automatic
Daihatsu,PKR,Daihatsu Cuore 2006 for sale in Nawabshah,Petrol,used,Daihatsu,"97,000 km",2006,875000,800cc,Manual
Toyota,PKR,Toyota Fortuner 2019 for sale in Islamabad,Diesel,used,Toyota,"54,000 km",2019,12800000,2800cc,Automatic
Toyota,PKR,Toyota Corolla 2009 for sale in Lahore,Petrol,used,Toyota,"194,000 km",2009,2025000,1300cc,Manual
Honda,PKR,Honda N Wgn 2019 for sale in Lahore,Petrol,used,Honda,"22,000 km",2019,3990000,660cc,Automatic
Honda,PKR,Honda Civic 2022 for sale in Multan,Petrol,used,Honda,"4,000 km",2022,7950000,1500cc,Automatic
Mitsubishi,PKR,Mitsubishi Minicab Bravo 2016 for sale in Lahore,Petrol,used,Mitsubishi,"95,000 km",2016,1150000,660cc,Automatic
Honda,PKR,Honda Civic 2021 for sale in Islamabad,Petrol,used,Honda,"27,000 km",2021,5550000,1800cc,Automatic
Changan,PKR,Changan Oshan X7 2023 for sale in Karachi,Petrol,used,Changan,50 km,2023,9350000,1500cc,Automatic
Honda,PKR,Honda City 2022 for sale in Lahore,Petrol,used,Honda,1 km,2022,4525000,1200cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2018 for sale in Karachi,Petrol,used,Daihatsu,"43,242 km",2018,3300000,660cc,Automatic
Honda,PKR,Honda City 2021 for sale in Islamabad,Petrol,used,Honda,"27,057 km",2021,4550000,1500cc,Automatic
Honda,PKR,Honda City 2018 for sale in Lahore,Petrol,used,Honda,"82,559 km",2018,2950000,1300cc,Manual
Toyota,PKR,Toyota Tacoma 2016 for sale in Karachi,Petrol,used,Toyota,"100,000 km",2016,14000000,3500cc,Automatic
Honda,PKR,Honda City 2010 for sale in Lahore,Petrol,used,Honda,"189,681 km",2010,2175000,1300cc,Manual
Honda,PKR,Honda City 2009 for sale in Lahore,Petrol,used,Honda,"147,084 km",2009,1790000,1300cc,Manual
Honda,PKR,Honda Civic 2015 for sale in Lahore,Petrol,used,Honda,"93,200 km",2015,2790000,1800cc,Automatic
Hyundai,PKR,Hyundai Tucson 2022 for sale in Karachi,Petrol,used,Hyundai,"9,500 km",2022,7600000,2000cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2014 for sale in Islamabad,Petrol,used,Suzuki,"97,000 km",2014,1750000,1000cc,Manual
Toyota,PKR,Toyota Premio 2006 for sale in Peshawar,Petrol,used,Toyota,"300,000 km",2006,2850000,1800cc,Automatic
Mazda,PKR,Mazda RX8 2005 for sale in Lahore,Petrol,used,Mazda,"70,000 km",2005,2500000,1300cc,Manual
Suzuki,PKR,Suzuki Ravi 2015 for sale in Rawalpindi,Petrol,used,Suzuki,"60,000 km",2015,835000,800cc,Manual
Toyota,PKR,Toyota Corolla 2008 for sale in Rawalpindi,Petrol,used,Toyota,"12,345 km",2008,1350000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2006 for sale in Islamabad,Petrol,used,Suzuki,"95,500 km",2006,815000,1000cc,Manual
Toyota,PKR,Toyota Passo 2020 for sale in Lahore,Petrol,used,Toyota,"24,000 km",2020,3775000,660cc,Automatic
Honda,PKR,Honda City 2016 for sale in Nankana sahib,Petrol,used,Honda,"69,520 km",2016,2630000,1300cc,Manual
Honda,PKR,Honda Civic 2017 for sale in Chakwal,Petrol,used,Honda,"94,000 km",2017,4300000,1800cc,Automatic
Hyundai,PKR,Hyundai Santro 2006 for sale in Burewala,Petrol,used,Hyundai,"80,000 km",2006,850000,1000cc,Manual
Suzuki,PKR,Suzuki Wagon R 2019 for sale in Lahore,Petrol,used,Suzuki,"82,126 km",2019,2130000,1000cc,Manual
Honda,PKR,Honda City 2017 for sale in Lahore,Petrol,used,Honda,"98,000 km",2017,2775000,1300cc,Manual
Honda,PKR,Honda Civic 2022 for sale in Gujranwala,Petrol,used,Honda,"11,000 km",2022,8600000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2010 for sale in Karachi,Petrol,used,Toyota,"100,000 km",2010,1650000,1300cc,Manual
Toyota,PKR,Toyota Passo 2007 for sale in Peshawar,Petrol,used,Toyota,"125,000 km",2007,1725000,1000cc,Automatic
Toyota,PKR,Toyota Corolla 2003 for sale in Bahawalpur,Petrol,used,Toyota,"200,000 km",2003,1375000,1600cc,Manual
Suzuki,PKR,Suzuki Baleno 2005 for sale in Islamabad,Petrol,used,Suzuki,"100,000 km",2005,900000,1300cc,Manual
Toyota,PKR,Toyota Hilux 2014 for sale in Rawalpindi,Diesel,used,Toyota,"89,000 km",2014,5650000,2500cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2019 for sale in Islamabad,Petrol,used,Daihatsu,"26,000 km",2019,3250000,660cc,Automatic
Honda,PKR,Honda Civic 2018 for sale in Lahore,Petrol,used,Honda,"38,000 km",2018,4950000,1800cc,Automatic
Toyota,PKR,Toyota Hilux 2021 for sale in Lahore,Diesel,used,Toyota,"11,000 km",2021,11950000,2800cc,Automatic
Toyota,PKR,Toyota Corolla 2018 for sale in Peshawar,Petrol,used,Toyota,"27,000 km",2018,4250000,1300cc,Automatic
Honda,PKR,Honda Civic 2005 for sale in Lahore,Petrol,used,Honda,"185,200 km",2005,1450000,1600cc,Automatic
Suzuki,PKR,Suzuki Cultus 2006 for sale in Lahore,Petrol,used,Suzuki,"145,000 km",2006,760000,1000cc,Manual
Honda,PKR,Honda HR-V 2023 for sale in Islamabad,Petrol,used,Honda,1 km,2023,7600000,1500cc,Automatic
Prince,PKR,Prince Pearl 2021 for sale in Lahore,Petrol,used,Prince,"2,200 km",2021,1190000,800cc,Manual
Hyundai,PKR,Hyundai Tucson 2022 for sale in Mardan,Petrol,used,Hyundai,"9,400 km",2022,8250000,2000cc,Automatic
Honda,PKR,Honda Civic 2015 for sale in Islamabad,Petrol,used,Honda,"47,000 km",2015,4245000,1800cc,Automatic
KIA,PKR,KIA Sportage 2019 for sale in Lahore,Petrol,used,KIA,"60,000 km",2019,6260000,2000cc,Automatic
Nissan,PKR,Nissan Note 2017 for sale in Lahore,Hybrid,used,Nissan,"84,000 km",2017,3650000,1200cc,Automatic
Toyota,PKR,Toyota Corolla 2014 for sale in Rawalpindi,Petrol,used,Toyota,"158,721 km",2014,2880000,1300cc,Manual
Toyota,PKR,Toyota Corolla 2013 for sale in Lahore,Petrol,used,Toyota,"150,000 km",2013,2450000,1300cc,Manual
Suzuki,PKR,Suzuki Alto 2021 for sale in Lahore,Petrol,used,Suzuki,"23,000 km",2021,2450000,660cc,Manual
Suzuki,PKR,Suzuki Alto 2021 for sale in Lahore,Petrol,used,Suzuki,"27,000 km",2021,2750000,660cc,Automatic
Changan,PKR,Changan Oshan X7 2023 for sale in Karachi,Petrol,used,Changan,50 km,2023,9000000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2019 for sale in Islamabad,Petrol,used,Toyota,"27,917 km",2019,5100000,1600cc,Automatic
Toyota,PKR,Toyota Yaris 2022 for sale in Lahore,Petrol,used,Toyota,"20,000 km",2022,4150000,1300cc,Automatic
Honda,PKR,Honda Insight 2010 for sale in Okara,Petrol,used,Honda,"87,000 km",2010,2750000,1300cc,Automatic
Suzuki,PKR,Suzuki Ravi 2017 for sale in Rawalpindi,Petrol,used,Suzuki,"32,000 km",2017,980000,800cc,Manual
Suzuki,PKR,Suzuki Baleno 2005 for sale in Rawalpindi,Petrol,used,Suzuki,"200,000 km",2005,850000,1300cc,Manual
Suzuki,PKR,Suzuki Bolan 2014 for sale in Chakwal,Petrol,used,Suzuki,"50,000 km",2014,800000,800cc,Manual
Suzuki,PKR,Suzuki Khyber 1999 for sale in Rawalpindi,Petrol,used,Suzuki,786 km,1999,550000,1000cc,Manual
Suzuki,PKR,Suzuki Jimny Sierra 1988 for sale in Rahim Yar Khan,Petrol,used,Suzuki,"1,000 km",1988,1380000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2013 for sale in Islamabad,Petrol,used,Suzuki,"7,256 km",2013,1200000,1000cc,Manual
Suzuki,PKR,Suzuki Alto 2012 for sale in Mardan,Petrol,used,Suzuki,"70,000 km",2012,1250000,1000cc,Manual
Toyota,PKR,Toyota Corolla 2012 for sale in Dera ismail khan,Petrol,used,Toyota,"75,000 km",2012,2700000,1300cc,Manual
Toyota,PKR,Toyota Fortuner 2021 for sale in Peshawar,Diesel,used,Toyota,"1,680 km",2021,16200000,2800cc,Automatic
Suzuki,PKR,Suzuki Alto 2022 for sale in Gujranwala,Petrol,used,Suzuki,"20,000 km",2022,2370000,660cc,Manual
Honda,PKR,Honda Civic 2000 for sale in Lahore,Petrol,used,Honda,"84,000 km",2000,990000,1500cc,Manual
Honda,PKR,Honda City 2022 for sale in Multan,Petrol,used,Honda,50 km,2022,4250000,1200cc,Manual
Honda,PKR,Honda City 2016 for sale in Faisalabad,Petrol,used,Honda,"170,000 km",2016,2600000,1300cc,Manual
Suzuki,PKR,Suzuki Wagon R 2017 for sale in Lahore,Petrol,used,Suzuki,"81,000 km",2017,2025000,1000cc,Manual
Suzuki,PKR,Suzuki Alto 2007 for sale in Karachi,Petrol,used,Suzuki,"250,000 km",2007,640000,1000cc,Manual
Honda,PKR,Honda City 2019 for sale in Lahore,Petrol,used,Honda,"70,000 km",2019,3500000,1300cc,Automatic
Suzuki,PKR,Suzuki Cultus 2007 for sale in Lahore,Petrol,used,Suzuki,"95,000 km",2007,695000,1000cc,Manual
Suzuki,PKR,Suzuki Baleno 2004 for sale in Faisalabad,Petrol,used,Suzuki,"25,000 km",2004,800000,1300cc,Manual
Daihatsu,PKR,Daihatsu Tanto 2016 for sale in Peshawar,Petrol,used,Daihatsu,"115,000 km",2016,2250000,660cc,Automatic
Suzuki,PKR,Suzuki Alto 2022 for sale in Rawalpindi,Petrol,used,Suzuki,57 km,2022,2650000,660cc,Manual
Toyota,PKR,Toyota Corolla 2010 for sale in Lahore,Petrol,used,Toyota,"107,423 km",2010,2100000,1300cc,Manual
Honda,PKR,Honda City 2015 for sale in Rawalpindi,Petrol,used,Honda,"70,000 km",2015,2990000,1300cc,Automatic
Suzuki,PKR,Suzuki Mehran 2012 for sale in Kahuta,Petrol,used,Suzuki,"120,000 km",2012,750000,800cc,Manual
Suzuki,PKR,Suzuki Baleno 2005 for sale in Lahore,Petrol,used,Suzuki,"150,000 km",2005,825000,1300cc,Manual
Suzuki,PKR,Suzuki Swift 2022 for sale in Faisalabad,Petrol,used,Suzuki,"13,100 km",2022,4025000,1200cc,Automatic
Toyota,PKR,Toyota Land Cruiser 2014 for sale in Karachi,Petrol,used,Toyota,"82,000 km",2014,14000000,4000cc,Manual
Toyota,PKR,Toyota Aqua 2019 for sale in Faisalabad,Hybrid,used,Toyota,"27,000 km",2019,5600000,1500cc,Automatic
Honda,PKR,Honda City 2019 for sale in Islamabad,Petrol,used,Honda,"37,000 km",2019,3425000,1300cc,Manual
Suzuki,PKR,Suzuki Cultus 2023 for sale in Faisalabad,Petrol,used,Suzuki,10 km,2023,3650000,1000cc,Manual
Toyota,PKR,Toyota Yaris 2021 for sale in Lahore,Petrol,used,Toyota,"51,000 km",2021,4050000,1300cc,Automatic
Honda,PKR,Honda BR-V 2017 for sale in Lahore,Petrol,used,Honda,"87,451 km",2017,3750000,1500cc,Automatic
Suzuki,PKR,Suzuki Every 2017 for sale in Lahore,Petrol,used,Suzuki,"139,878 km",2017,2495000,660cc,Automatic
MG,PKR,MG HS 2021 for sale in Jhelum,Petrol,used,MG,"25,000 km",2021,7100000,1490cc,Automatic
Honda,PKR,Honda Civic 2005 for sale in Islamabad,Petrol,used,Honda,"135,000 km",2005,1475000,1500cc,Manual
Honda,PKR,Honda Civic 2018 for sale in Lahore,Petrol,used,Honda,"47,000 km",2018,5200000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2022 for sale in Islamabad,Petrol,used,Toyota,"1,100 km",2022,5995000,1600cc,Automatic
Suzuki,PKR,Suzuki Mehran 2011 for sale in Gujranwala,Petrol,used,Suzuki,"95,000 km",2011,875000,800cc,Manual
Honda,PKR,Honda Civic 2002 for sale in Charsadda,Petrol,used,Honda,"216,000 km",2002,1370000,1600cc,Automatic
Toyota,PKR,Toyota Corolla 2016 for sale in Mandi bahauddin,Petrol,used,Toyota,"136,500 km",2016,2950000,1300cc,Manual
BMW,PKR,BMW X1 2017 for sale in Lahore,Petrol,used,BMW,"84,000 km",2017,7000000,1500cc,Automatic
Suzuki,PKR,Suzuki Mehran 2017 for sale in Lahore,Petrol,used,Suzuki,"67,256 km",2017,1110000,800cc,Manual
Suzuki,PKR,Suzuki Mehran 2013 for sale in Faisalabad,Petrol,used,Suzuki,"70,000 km",2013,480000,800cc,Manual
Toyota,PKR,Toyota C-HR 2017 for sale in Lahore,Hybrid,used,Toyota,"65,800 km",2017,8500000,1800cc,Automatic
Toyota,PKR,Toyota Mark X 2005 for sale in Lahore,Petrol,used,Toyota,"86,000 km",2005,7995000,3000cc,Automatic
Honda,PKR,Honda Civic 2018 for sale in Lahore,Petrol,used,Honda,"57,000 km",2018,5050000,1800cc,Automatic
Suzuki,PKR,Suzuki Alto 2020 for sale in Lahore,Petrol,used,Suzuki,"25,600 km",2020,2595000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2016 for sale in Sadiqabad,Petrol,used,Toyota,"100,000 km",2016,3200000,1600cc,Automatic
Toyota,PKR,Toyota Crown 2004 for sale in Lahore,Petrol,used,Toyota,"175,000 km",2004,5600000,2500cc,Automatic
Toyota,PKR,Toyota Vitz 2007 for sale in Peshawar,Petrol,used,Toyota,"145,000 km",2007,1765000,1000cc,Automatic
Honda,PKR,Honda City 2017 for sale in Faisalabad,Petrol,used,Honda,"113,000 km",2017,3000000,1300cc,Manual
Volkswagen,PKR,Volkswagen Beetle 1969 for sale in Islamabad,Petrol,used,Volkswagen,"200,000 km",1969,490000,1200cc,Manual
Toyota,PKR,Toyota Prado 1996 for sale in Bhimber,Petrol,used,Toyota,"255,000 km",1996,4350000,3378cc,Automatic
Suzuki,PKR,Suzuki Bolan 2011 for sale in Lahore,Petrol,used,Suzuki,"466,430 km",2011,700000,800cc,Manual
Suzuki,PKR,Suzuki Baleno 2000 for sale in Karachi,Petrol,used,Suzuki,"100,000 km",2000,700000,1300cc,Manual
Honda,PKR,Honda Civic 2019 for sale in Lahore,Petrol,used,Honda,"111,500 km",2019,5550000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2006 for sale in Bannu,Petrol,used,Toyota,"90,000 km",2006,1680000,1300cc,Manual
Toyota,PKR,Toyota Corolla 2004 for sale in Quetta,Diesel,used,Toyota,"160,000 km",2004,1250000,2000cc,Manual
Honda,PKR,Honda Civic 2018 for sale in Lahore,Petrol,used,Honda,"47,000 km",2018,4950000,1800cc,Automatic
Toyota,PKR,Toyota Corolla 2017 for sale in Multan,Petrol,used,Toyota,"72,000 km",2017,2950000,1300cc,Manual
Honda,PKR,Honda Civic 2010 for sale in Lahore,Petrol,used,Honda,"170,000 km",2010,2145000,1800cc,Automatic
Suzuki,PKR,Suzuki Cultus 2007 for sale in Lahore,Petrol,used,Suzuki,"100,000 km",2007,825000,1000cc,Manual
Toyota,PKR,Toyota Aqua 2013 for sale in Karachi,Hybrid,used,Toyota,"158,000 km",2013,2800000,1500cc,Automatic
Toyota,PKR,Toyota Hilux 2023 for sale in Karachi,Diesel,used,Toyota,1 km,2023,14500000,2800cc,Automatic
Changan,PKR,Changan Alsvin 2022 for sale in Islamabad,Petrol,used,Changan,"18,000 km",2022,3975000,1500cc,Automatic
Toyota,PKR,Toyota Prius 2014 for sale in Peshawar,Petrol,used,Toyota,"130,000 km",2014,4250000,1800cc,Automatic
Honda,PKR,Honda Civic 2019 for sale in Multan,Petrol,used,Honda,"67,500 km",2019,5295000,1800cc,Automatic
Suzuki,PKR,Suzuki Alto 2006 for sale in Rawalpindi,Petrol,used,Suzuki,"290,000 km",2006,900000,1000cc,Manual
Nissan,PKR,Nissan Otti 2007 for sale in Lahore,Petrol,used,Nissan,"88,000 km",2007,1385000,660cc,Automatic
MG,PKR,MG HS 2021 for sale in Lahore,Petrol,used,MG,"18,000 km",2021,6450000,1500cc,Automatic
Honda,PKR,Honda N Wgn 2016 for sale in Lahore,Petrol,used,Honda,"59,000 km",2016,2650000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2012 for sale in Lahore,Petrol,used,Toyota,"1,000,000 km",2012,2590000,1600cc,Automatic
Suzuki,PKR,Suzuki MR Wagon 2013 for sale in Lahore,Petrol,used,Suzuki,"86,000 km",2013,1785000,660cc,Automatic
Suzuki,PKR,Suzuki Cultus 2007 for sale in Lahore,Petrol,used,Suzuki,"100,000 km",2007,825000,1000cc,Manual
Suzuki,PKR,Suzuki Alto 2021 for sale in Faisalabad,Petrol,used,Suzuki,"17,600 km",2021,2315000,660cc,Manual
Honda,PKR,Honda City 2023 for sale in Lahore,Petrol,used,Honda,25 km,2023,4675000,1200cc,Automatic
Honda,PKR,Honda City 2019 for sale in Rawalpindi,Petrol,used,Honda,"26,000 km",2019,3431000,1300cc,Manual
Toyota,PKR,Toyota Fortuner 2023 for sale in Lahore,Diesel,used,Toyota,25 km,2023,19150000,2800cc,Automatic
Toyota,PKR,Toyota Corolla 2007 for sale in Quetta,Diesel,used,Toyota,"65,000 km",2007,1350000,2000cc,Manual
Honda,PKR,Honda City 2004 for sale in Islamabad,Petrol,used,Honda,"140,000 km",2004,1340000,1300cc,Manual
Toyota,PKR,Toyota Corolla 2010 for sale in Charsadda,Petrol,used,Toyota,"189,000 km",2010,1760000,1300cc,Manual
Honda,PKR,Honda City 2022 for sale in Layyah,Petrol,used,Honda,400 km,2022,4650000,1200cc,Automatic
Honda,PKR,Honda Civic 2004 for sale in Rawalpindi,Petrol,used,Honda,12 km,2004,1300000,1500cc,Manual
Honda,PKR,Honda City 2019 for sale in Karachi,Petrol,used,Honda,42 km,2019,3280000,1300cc,Automatic
Toyota,PKR,Toyota Vitz 2008 for sale in Quetta,Petrol,used,Toyota,"107,000 km",2008,1450000,1300cc,Automatic
Toyota,PKR,Toyota Land Cruiser 1989 for sale in Rawalpindi,Petrol,used,Toyota,"200,000 km",1989,1850000,4200cc,Manual
Honda,PKR,Honda City 2019 for sale in Islamabad,Petrol,used,Honda,"27,000 km",2019,3435000,1300cc,Manual
Toyota,PKR,Toyota Vitz 2018 for sale in Lahore,Petrol,used,Toyota,"56,000 km",2018,3580000,1000cc,Automatic
Suzuki,PKR,Suzuki Mehran 2009 for sale in Lahore,Petrol,used,Suzuki,"115,000 km",2009,680000,800cc,Manual
Toyota,PKR,Toyota Corolla 2004 for sale in Rawalpindi,Diesel,used,Toyota,12 km,2004,1550000,2000cc,Manual
Toyota,PKR,Toyota Corolla 2001 for sale in Islamabad,Petrol,used,Toyota,"17,500 km",2001,980000,1600cc,Automatic
Suzuki,PKR,Suzuki Wagon R 2015 for sale in Rawalpindi,Petrol,used,Suzuki,"118,000 km",2015,2200000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2004 for sale in Fateh Jang,Petrol,used,Toyota,"250,000 km",2004,1575000,1600cc,Automatic
Toyota,PKR,Toyota Prado 2017 for sale in Lahore,Petrol,used,Toyota,"42,300 km",2017,27500000,2700cc,Automatic
Suzuki,PKR,Suzuki Cultus 2016 for sale in Abbottabad,Petrol,used,Suzuki,"48,000 km",2016,1750000,1000cc,Manual
Suzuki,PKR,Suzuki Margalla 1992 for sale in Islamabad,Petrol,used,Suzuki,"20,000 km",1992,570000,5548cc,Manual
Toyota,PKR,Toyota Corolla 1999 for sale in Abbottabad,Petrol,used,Toyota,120 km,1999,920000,1300cc,Manual
Toyota,PKR,Toyota 86 1986 for sale in Multan,Petrol,used,Toyota,"110,000 km",1986,530000,1300cc,Manual
Suzuki,PKR,Suzuki Mehran 2005 for sale in Islamabad,Petrol,used,Suzuki,"100,000 km",2005,595000,800cc,Manual
Toyota,PKR,Toyota Porte 2007 for sale in Lahore,Petrol,used,Toyota,"128,000 km",2007,1700000,1300cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2019 for sale in Karachi,Petrol,used,Daihatsu,"22,000 km",2019,3650000,660cc,Automatic
Toyota,PKR,Toyota Corolla 2018 for sale in Lahore,Petrol,used,Toyota,"59,000 km",2018,4725000,1800cc,Automatic
Honda,PKR,Honda Grace Hybrid 2019 for sale in Lahore,Hybrid,used,Honda,"13,000 km",2019,6800000,1500cc,Automatic
Honda,PKR,Honda Insight 2020 for sale in Lahore,Hybrid,used,Honda,"21,000 km",2020,14500000,1500cc,Automatic
Toyota,PKR,Toyota Pixis Epoch 2019 for sale in Karachi,Petrol,used,Toyota,"3,700 km",2019,3550000,660cc,Automatic
Suzuki,PKR,Suzuki Cultus 2021 for sale in Karachi,Petrol,used,Suzuki,"20,000 km",2021,3250000,1000cc,Manual
Honda,PKR,Honda Civic 2013 for sale in Karachi,Petrol,used,Honda,"105,236 km",2013,2850000,1800cc,Automatic
Daihatsu,PKR,Daihatsu Mira 2019 for sale in Karachi,Petrol,used,Daihatsu,"25,000 km",2019,3775000,660cc,Automatic
Toyota,PKR,Toyota Prius 2009 for sale in Lahore,Petrol,used,Toyota,"110,000 km",2009,4500000,1800cc,Automatic
Honda,PKR,Honda Civic 1994 for sale in Lahore,Petrol,used,Honda,"142,000 km",1994,750000,1500cc,Manual
Suzuki,PKR,Suzuki Bolan 2019 for sale in Kotla arab ali khan,Petrol,used,Suzuki,"39,000 km",2019,1500000,800cc,Manual
Suzuki,PKR,Suzuki Alto 2020 for sale in Lahore,Petrol,used,Suzuki,"19,000 km",2020,2290000,660cc,Manual
Toyota,PKR,Toyota Passo 2017 for sale in Islamabad,Petrol,used,Toyota,"64,000 km",2017,3460000,1000cc,Automatic
Suzuki,PKR,Suzuki Alto 2021 for sale in Lahore,Petrol,used,Suzuki,"34,000 km",2021,2650000,660cc,Automatic
Suzuki,PKR,Suzuki Cultus 2009 for sale in Lahore,Petrol,used,Suzuki,"75,000 km",2009,870000,1000cc,Manual
Suzuki,PKR,Suzuki Mehran 2015 for sale in Islamabad,Petrol,used,Suzuki,"71,000 km",2015,920000,800cc,Manual
Toyota,PKR,Toyota Mark X 2005 for sale in Karachi,Petrol,used,Toyota,"65,000 km",2005,3075000,2500cc,Automatic
Hyundai,PKR,Hyundai Santro 2008 for sale in Faisalabad,Petrol,used,Hyundai,"100,000 km",2008,1070000,1000cc,Manual
Honda,PKR,Honda City 2000 for sale in Karachi,Petrol,used,Honda,"133,359 km",2000,720000,1300cc,Manual
Toyota,PKR,Toyota Passo 2019 for sale in Lahore,Petrol,used,Toyota,"26,000 km",2019,3695000,1000cc,Automatic
Honda,PKR,Honda City 2006 for sale in Hafizabad,Petrol,used,Honda,"100,000 km",2006,1750000,1300cc,Manual
Suzuki,PKR,Suzuki Wagon R 2022 for sale in Lahore,Petrol,used,Suzuki,900 km,2022,3050000,1000cc,Manual
Honda,PKR,Honda City 2010 for sale in Rawalpindi,Petrol,used,Honda,"147,000 km",2010,2100000,1300cc,Manual
Toyota,PKR,Toyota Yaris 2021 for sale in Islamabad,Petrol,used,Toyota,"27,000 km",2021,4150000,1300cc,Automatic
Toyota,PKR,Toyota Corolla 2011 for sale in Lahore,Petrol,used,Toyota,"85,000 km",2011,2450000,1300cc,Manual
Honda,PKR,Honda City 2018 for sale in Lahore,Petrol,used,Honda,"24,500 km",2018,3850000,1500cc,Automatic
Toyota,PKR,Toyota Aqua 2014 for sale in Lahore,Hybrid,used,Toyota,"91,000 km",2014,3850000,1500cc,Automatic
Toyota,PKR,Toyota Corolla 2015 for sale in Peshawar,Petrol,used,Toyota,"150,000 km",2015,3225000,1300cc,Manual
Suzuki,PKR,Suzuki Alto 2021 for sale in Islamabad,Petrol,used,Suzuki,"11,000 km",2021,2485000,660cc,Manual
